,count,cluster,terms
32,729,19,"Index(['get', 'yall', 'see', 'play', 'well', 'fan', 'go', 'actual', 'much',
       'like', 'cancel', 'know', 'peopl', 'better', 'game', 'done', 'time',
       'im', 'make', 'viru'],
      dtype='object')"
7,713,36,"Index(['us', 'im', 'today', 'birthday', 'like', 'day', 'get', 'one', 'see',
       'make', 'go', 'amp', 'know', 'bitch', 'time', 'love', 'got', 'come',
       'good', 'point'],
      dtype='object')"
13,710,34,"Index(['amp', 'hand', 'well', 'thank', 'person', 'wash', 'morn', 'get',
       'tweet', 'like', 'ask', 'go', 'time', 'work', 'im', 'see', 'dont',
       'one', 'peopl', 'love'],
      dtype='object')"
20,708,41,"Index(['amp', 'come', 'want', 'peopl', 'friend', 'hand', 'like', 'day', 'get',
       'wash', 'back', 'ill', 'work', 'happi', 'go', 'birthday', 'time', 'see',
       'one', 'make'],
      dtype='object')"
36,702,27,"Index(['get', 'want', 'dont', 'realli', 'shit', 'that', 'like', 'break', 'go',
       'spring', 'back', 'peopl', 'see', 'time', 'need', 'test', 'us', 'think',
       'one', 'say'],
      dtype='object')"
33,702,29,"Index(['take', 'year', 'watch', 'best', 'that', 'thank', 'show', 'like', 'go',
       'get', 'time', 'one', 'peopl', 'day', 'im', 'she', 'last', 'say',
       'great', 'think'],
      dtype='object')"
29,696,39,"Index(['go', 'peopl', 'work', 'thing', 'world', 'right', 'anyth', 'get',
       'like', 'help', 'know', 'home', 'im', 'left', 'still', 'best', 'make',
       'need', 'one', 'mani'],
      dtype='object')"
56,693,52,"Index(['time', 'na', 'look', 'like', 'last', 'year', 'gon', 'night', 'yall',
       'even', 'get', 'im', 'go', 'one', 'amp', 'mind', 'know', 'still',
       'make', 'think'],
      dtype='object')"
54,689,30,"Index(['peopl', 'day', 'ever', 'morn', 'vote', 'get', 'like', 'time', 'think',
       'go', 'one', 'im', 'thing', 'us', 'want', 'need', 'good', 'dont', 'lol',
       'say'],
      dtype='object')"
42,686,40,"Index(['im', 'shit', 'test', 'think', 'day', 'say', 'like', 'peopl', 'word',
       'go', 'get', 'posit', 'dont', 'coronaviru', 'need', 'sure', 'take',
       'back', 'use', 'time'],
      dtype='object')"
8,681,8,"Index(['got', 'would', 'ye', 'play', 'ta', 'well', 'get', 'like', 'bad', 'go',
       'make', 'game', 'one', 'year', 'start', 'need', 'still', 'love', 'time',
       'know'],
      dtype='object')"
16,668,58,"Index(['still', 'good', 'show', 'tri', 'next', 'get', 'im', 'week', 'tonight',
       'like', 'go', 'day', 'beauti', 'one', 'peopl', 'time', 'need', 'make',
       'morn', 'see'],
      dtype='object')"
43,641,57,"Index(['got', 'new', 'realli', 'fuck', 'viru', 'tell', 'corona', 'ta', 'like',
       'get', 'social', 'im', 'dont', 'make', 'time', 'work', 'know',
       'distanc', 'go', 'week'],
      dtype='object')"
19,637,24,"Index(['im', 'na', 'last', 'gon', 'thing', 'great', 'go', 'night', 'wan',
       'get', 'like', 'see', 'got', 'one', 'time', 'dude', 'make', 'say',
       'amp', 'dont'],
      dtype='object')"
38,631,13,"Index(['like', 'work', 'make', 'hope', 'chang', 'food', 'get', 'time', 'go',
       'peopl', 'im', 'see', 'need', 'know', 'got', 'dont', 'good', 'year',
       'everyon', 'back'],
      dtype='object')"
9,627,49,"Index(['need', 'us', 'that', 'thank', 'get', 'go', 'birthday', 'day', 'im',
       'check', 'like', 'work', 'lol', 'happi', 'know', 'time', 'thankthank',
       'give', 'year', 'want'],
      dtype='object')"
47,620,15,"Index(['peopl', 'got', 'year', 'way', 'cant', 'get', 'like', 'work', 'go',
       'wait', 'ta', 'im', 'today', 'see', 'day', 'time', 'ago', 'say',
       'still', 'tonight'],
      dtype='object')"
15,604,22,"Index(['new', 'say', 'school', 'realli', 'hand', 'night', 'he', 'cant', 'last',
       'go', 'like', 'close', 'get', 'wash', 'im', 'make', 'need', 'time',
       'week', 'know'],
      dtype='object')"
27,602,11,"Index(['know', 'keep', 'that', 'still', 'great', 'hope', 'time', 'get', 'dont',
       'like', 'your', 'im', 'see', 'what', 'safe', 'portland', 'better', 'go',
       'say', 'peopl'],
      dtype='object')"
53,589,28,"Index(['na', 'women', 'gon', 'day', 'trump', 'big', 'stop', 'get', 'intern',
       'wan', 'go', 'peopl', 'heart', 'dont', 'amp', 'keep', 'hope', 'biden',
       'one', 'berni'],
      dtype='object')"
5,581,26,"Index(['make', 'feel', 'shit', 'like', 'toilet', 'paper', 'that', 'get', 'im',
       'real', 'hate', 'say', 'go', 'one', 'day', 'time', 'peopl', 'need',
       'dont', 'work'],
      dtype='object')"
6,573,53,"Index(['love', 'team', 'pleas', 'alway', 'march', 'babi', 'bitch', 'get', 'im',
       'lol', 'need', 'go', 'see', 'got', 'like', 'new', 'say', 'come', 'know',
       'weekend'],
      dtype='object')"
55,563,50,"Index(['day', 'say', 'na', 'gon', 'made', 'thank', 'beauti', 'one', 'wind',
       'humid', 'pressur', 'get', 'im', 'weather', 'go', 'good', 'everi',
       'like', 'women', 'time'],
      dtype='object')"
41,561,59,"Index(['look', 'thing', 'your', 'game', 'never', 'like', 'peopl', 'get',
       'know', 'good', 'im', 'photo', 'post', 'mayb', 'make', 'one', 'love',
       'tri', 'forward', 'think'],
      dtype='object')"
59,552,51,"Index(['say', 'good', 'realli', 'wait', 'way', 'cant', 'get', 'pm', 'beauti',
       'hi', 'mar', '13th', 'forecast', 'fri', 'tonight', 'lo', 'md',
       'saturday', 'clear', 'go'],
      dtype='object')"
14,529,7,"Index(['fuck', 'look', 'need', 'like', 'stay', 'safe', 'friday', 'go', 'good',
       'time', 'get', 'im', 'one', 'everyon', 'work', 'dont', '13th', 'day',
       'take', 'amp'],
      dtype='object')"
35,507,55,"Index(['right', 'got', 'yall', 'ta', 'get', 'go', 'twitter', 'isol', 'self',
       'like', 'parti', 'love', 'im', 'dont', 'know', 'one', 'back', 'would',
       'amp', 'light'],
      dtype='object')"
58,501,12,"Index(['women', 'come', 'right', 'day', 'na', 'intern', 'cant', 'wan', 'like',
       'nigga', 'get', 'market', 'go', 'know', 'see', 'im', 'amp', 'celebr',
       'even', 'work'],
      dtype='object')"
23,488,16,"Index(['go', 'back', 'feel', 'someth', 'like', 'chanc', 'he', 'rain', 'photo',
       'tonight', 'get', 'pm', 'sunday', 'ca', '14th', 'mar', 'lo', 'hi',
       'forecast', 'sat'],
      dtype='object')"
51,475,54,"Index(['friend', 'support', 'ass', 'ye', 'sleep', 'go', 'im', 'like', 'hair',
       'get', 'could', 'aint', 'stop', 'use', 'yeye', 'hour', 'work',
       'absolut', 'even', 'hate'],
      dtype='object')"
11,459,46,"Index(['think', 'alway', 'well', 'season', 'miss', 'get', 'like', 'pressur',
       'wind', 'humid', 'weather', 'want', 'suspend', 'go', 'im', 'see',
       'work', 'time', 'never', 'peopl'],
      dtype='object')"
