,count,cluster,terms
16,734,4,"Index(['like', 'ukrain', 'good', 'hope', 'hous', 'look', 'amp', 'russia',
       'get', 'peopl', 'russian', 'ye', 'morn', 'make', 'day', 'time', 'lol',
       'know', 'luck', 'support'],
      dtype='object')"
40,733,7,"Index(['time', 'good', 'today', 'want', 'first', 'thing', 'that', 'still',
       'get', 'like', 'thought', 'day', 'go', 'amp', 'realli', 'come', 'luck',
       'make', 'said', 'dont'],
      dtype='object')"
37,717,37,"Index(['like', 'got', 'great', 'follow', 'ta', 'that', 'wrong', 'amp', 'peopl',
       'noth', 'get', 'day', 'would', 'one', 'dont', 'say', 'look', 'im',
       'happen', 'time'],
      dtype='object')"
19,713,46,"Index(['one', 'want', 'know', 'next', 'back', 'go', 'exit', 'traffic', 'stop',
       'rd', 'get', 'block', 'lane', 'let', 'eb', 'right', 'like', 'wb',
       'trafficaccid', 'nb'],
      dtype='object')"
9,713,30,"Index(['like', 'dont', 'im', 'love', 'tri', 'know', 'get', 'see', 'go', 'even',
       'much', 'time', 'make', 'one', 'feel', 'amp', 'think', 'he', 'take',
       'want'],
      dtype='object')"
21,708,47,"Index(['amp', 'im', 'start', 'tonight', 'exit', 'like', 'go', 'ass', 'noth',
       'get', 'sb', 'back', 'best', 'know', 'one', 'stop', 'say', 'still',
       'year', 'game'],
      dtype='object')"
55,699,18,"Index(['day', 'russia', 'see', 'morn', 'mani', 'ukrain', 'hope', 'never', 'go',
       'good', 'war', 'amp', 'get', 'time', 'us', 'putin', 'come', 'today',
       'like', 'invad'],
      dtype='object')"
54,698,11,"Index(['day', 'look', 'new', 'see', 'lol', 'lollol', 'beach', 'like', 'one',
       'today', 'forward', 'go', 'time', 'im', 'back', 'get', 'hope', 'make',
       'say', 'good'],
      dtype='object')"
5,691,48,"Index(['new', 'morn', 'great', 'good', 'russian', 'happen', 'better', 'well',
       'school', 'get', 'day', 'coach', 'like', 'high', 'york', 'make', 'amp',
       'know', 'go', 'said'],
      dtype='object')"
24,678,53,"Index(['peopl', 'one', 'got', 'well', 'na', 'gon', 'like', 'get', 'ta', 'im',
       'go', 'almost', 'know', 'time', 'lol', 'good', 'see', 'make', 'way',
       'done'],
      dtype='object')"
