,count,cluster,terms
20,1457,22,"Index(['come', 'watch', 'today', 'na', 'gon', 'someth', 'thank', 'get', 'im',
       'like', 'go', 'day', 'time', 'see', 'good', 'one', 'love', 'make',
       'think', 'take'],
      dtype='object')"
48,1455,31,"Index(['im', 'na', 'gon', 'yall', 'miss', 'get', 'wan', 'go', 'like', 'see',
       'know', 'sure', 'love', 'dont', 'one', 'make', 'say', 'still', 'year',
       'got'],
      dtype='object')"
58,1450,41,"Index(['day', 'take', 'want', 'get', 'happen', 'one', 'go', 'like', 'work',
       'make', 'dont', 'im', 'everi', 'peopl', 'time', 'good', 'amp',
       'christma', 'say', 'love'],
      dtype='object')"
37,1445,34,"Index(['get', 'need', 'want', 'follow', 'happi', 'birthday', 'dont', 'excit',
       'go', 'like', 'day', 'make', 'amp', 'peopl', 'us', 'good', 'love',
       'see', 'im', 'look'],
      dtype='object')"
52,1442,26,"Index(['new', 'come', 'night', 'man', 'last', 'year', 'birthday', 'happi',
       'get', 'lol', 'go', 'like', 'one', 'im', 'day', 'hope', 'good', 'see',
       'lollol', 'got'],
      dtype='object')"
49,1436,42,"Index(['go', 'would', 'peopl', 'tri', 'best', 'never', 'didnt', 'get', 'make',
       'one', 'nice', 'like', 'think', 'say', 'know', 'see', 'im', 'use',
       'work', 'alway'],
      dtype='object')"
55,1427,15,"Index(['photo', 'play', 'way', 'alway', 'believ', 'get', 'one', 'like', 'go',
       'im', 'lol', 'peopl', 'amp', 'time', 'lollol', 'game', 'love', 'see',
       'team', 'say'],
      dtype='object')"
18,1427,13,"Index(['new', 'go', 'love', 'win', 'birthday', 'happi', 'get', 'im', 'day',
       'year', 'game', 'like', 'ok', 'amp', 'watch', 'time', 'lovelove', 'see',
       'hope', 'got'],
      dtype='object')"
32,1422,59,"Index(['day', 'dont', 'good', 'right', 'get', 'morn', 'like', 'know', 'im',
       'late', 'go', 'one', 'bro', 'even', 'think', 'everi', 'realli', 'back',
       'look', 'make'],
      dtype='object')"
5,1414,33,"Index(['take', 'new', 'got', 'look', 'ta', 'na', 'get', 'wan', 'like', 'go',
       'came', 'one', 'time', 'lol', 'lollol', 'know', 'im', 'make', 'dont',
       'say'],
      dtype='object')"
15,1411,56,"Index(['amp', 'good', 'feel', 'morn', 'like', 'walk', 'get', 'took', 'time',
       'day', 'look', 'go', 'peopl', 'us', 'got', 'make', 'one', 'see', 'know',
       'im'],
      dtype='object')"
28,1406,43,"Index(['game', 'back', 'mani', 'get', 'go', 'like', 'health', 'one', 'peopl',
       'day', 'time', 'stop', 'lol', 'year', 'see', 'play', 'need', 'know',
       'still', 'amp'],
      dtype='object')"
11,1406,10,"Index(['would', 'thing', 'right', 'tonight', 'ive', 'anoth', 'like', 'get',
       'go', 'one', 'think', 'time', 'make', 'never', 'know', 'im', 'peopl',
       'see', 'good', 'say'],
      dtype='object')"
26,1358,25,"Index(['work', 'good', 'come', 'well', 'morn', 'happi', 'birthday', 'bring',
       'get', 'day', 'back', 'hope', 'go', 'love', 'im', 'make', 'like',
       'look', 'done', 'time'],
      dtype='object')"
23,1357,28,"Index(['amp', 'today', 'man', 'video', 'happi', 'get', 'thanksgiv', 'like',
       'day', 'love', 'birthday', 'go', 'work', 'one', 'make', 'stuff', 'time',
       'new', 'year', 'know'],
      dtype='object')"
34,1339,51,"Index(['one', 'look', 'never', 'like', 'wait', 'cant', 'damn', 'get',
       'forward', 'good', 'see', 'thing', 'go', 'ye', 'im', 'make', 'would',
       'got', 'realli', 'time'],
      dtype='object')"
30,1324,12,"Index(['time', 'play', 'need', 'hard', 'wait', 'get', 'like', 'go', 'game',
       'cant', 'one', 'work', 'good', 'year', 'west', 'next', 'see', 'first',
       'im', 'back'],
      dtype='object')"
8,1323,54,"Index(['time', 'got', 'video', 'first', 'na', 'miss', 'ta', 'wan', 'get',
       'thought', 'said', 'one', 'like', 'go', 'day', 'year', 'im', 'love',
       'amp', 'make'],
      dtype='object')"
46,1319,30,"Index(['see', 'much', 'na', 'gon', 'man', 'want', 'bad', 'alway', 'like',
       'love', 'absolut', 'get', 'im', 'go', 'one', 'say', 'good', 'min',
       'time', 'know'],
      dtype='object')"
33,1269,38,"Index(['need', 'use', 'see', 'morn', 'play', 'much', 'like', 'get', 'one',
       'go', 'good', 'time', 'would', 'day', 'love', 'im', 'make', 'work',
       'even', 'look'],
      dtype='object')"
25,1227,50,"Index(['time', 'bad', 'miss', 'get', 'state', 'like', 'lol', 'first', 'one',
       'im', 'year', 'mine', 'everi', 'go', 'start', 'good', 'event', 'lollol',
       'see', 'watch'],
      dtype='object')"
53,1227,52,"Index(['peopl', 'way', 'said', 'na', 'let', 'gon', 'go', 'get', 'like', 'im',
       'monday', 'know', 'one', 'say', 'make', 'good', 'day', 'vaccin', 'see',
       'time'],
      dtype='object')"
9,1226,45,"Index(['us', 'know', 'come', 'wait', 'get', 'twitter', 'like', 'cant', 'go',
       'see', 'let', 'good', 'im', 'make', 'amp', 'dont', 'peopl', 'time',
       'one', 'keep'],
      dtype='object')"
1,1214,32,"Index(['thing', 'great', 'best', 'better', 'well', 'get', 'one', 'like',
       'done', 'good', 'hope', 'see', 'work', 'time', 'know', 'day', 'media',
       'go', 'love', 'social'],
      dtype='object')"
50,1178,49,"Index(['today', 'good', 'pleas', 'boy', 'absolut', 'day', 'get', 'like', 'im',
       'luck', 'yeah', 'go', 'see', 'love', 'need', 'know', 'one', 'make',
       'help', 'us'],
      dtype='object')"
59,1137,9,"Index(['think', 'morn', 'fuck', 'dont', 'birthday', 'happi', 'get', 'lol',
       'good', 'im', 'like', 'day', 'love', 'lollol', 'hope', 'peopl', 'make',
       'one', 'go', 'got'],
      dtype='object')"
4,1136,44,"Index(['back', 'work', 'famili', 'exit', 'na', 'get', 'never', 'wan', 'go',
       'see', 'like', 'sb', 'im', 'day', 'peopl', 'time', 'nb', 'road', 'us',
       'look'],
      dtype='object')"
42,1125,55,"Index(['realli', 'got', 'end', 'ta', 'like', 'song', 'get', 'go', 'incid',
       'good', 'want', 'need', 'im', 'know', 'time', 'one', 'make', 'love',
       'think', 'see'],
      dtype='object')"
56,1107,35,"Index(['day', 'got', 'fuck', 'god', 'ta', 'drink', 'one', 'get', 'good',
       'like', 'love', 'thank', 'everi', 'make', 'dont', 'go', '2', 'amp',
       'im', 'work'],
      dtype='object')"
6,1105,36,"Index(['night', 'fuck', 'best', 'hard', 'that', 'last', 'beauti', 'work',
       'one', 'get', 'go', 'im', 'like', 'around', 'day', 'amp', 'time',
       'ever', 'love', 'make'],
      dtype='object')"
16,1002,58,"Index(['back', 'fuck', 'go', 'yeah', 'send', 'get', 'like', 'im', 'ck', 'f',
       'time', 'write', 'day', 'love', 'oh', 'got', 'come', 'right', 'good',
       'need'],
      dtype='object')"
