,count,cluster,terms
17,70,6,"Index(['trump', 'presid', 'elect', 'vote', 'state', 'american', 'biden',
       'peopl', 'would', 'there', '4', 'get', 'im', 'sinc', 'elector', 'stand',
       'amp', 'worst', 'believ', 'win'],
      dtype='object')"
23,70,32,"Index(['trump', 'one', 'think', 'elect', 'say', 'like', 'take', 'get', 'biden',
       'truth', 'go', 'peopl', 'would', 'vote', 'your', 'support', 'dont',
       'doesnt', 'democrat', 'call'],
      dtype='object')"
27,69,26,"Index(['trump', 'elect', 'biden', 'america', 'call', 'amp', 'man', 'fraud',
       'vote', 'campaign', 'peopl', 'joe', 'like', 'russia', 'make',
       'overturn', 'harri', 'result', 'fair', 'tri'],
      dtype='object')"
28,69,12,"Index(['trump', 'elect', 'get', 'would', 'gone', 'day', 'biden', 'next',
       'support', 'let', 'say', 'polit', 'man', 'one', 'bad', 'week', 'peopl',
       'critic', 'go', 'particular'],
      dtype='object')"
11,68,5,"Index(['trump', 'biden', 'offici', 'get', 'vaccin', 'man', 'go', 'hack',
       'know', 'elect', 'amp', 'presid', 'news', 'putin', 'govern', 'say',
       'count', 'lost', 'like', 'put'],
      dtype='object')"
22,68,49,"Index(['elect', 'trump', 'biden', 'like', 'immun', 'want', 'one', 'year',
       'american', 'herd', 'vote', 'feel', 'part', 'see', 'fraud', 'specif',
       'kill', 'mail', 'said', 'law'],
      dtype='object')"
37,66,45,"Index(['trump', 'elect', 'biden', 'know', 'state', 'need', 'still', 'go',
       'gop', 'vote', 'counti', 'offici', 'would', 'next', 'show', 'peopl',
       'presid', 'think', 'machin', 'govern'],
      dtype='object')"
47,66,36,"Index(['trump', 'elect', 'presid', 'republican', 'biden', 'parti', 'he',
       'done', 'dem', 'im', 'like', 'need', 'us', 'fail', 'one', 'amp', 'evid',
       'call', 'without', 'differ'],
      dtype='object')"
0,64,21,"Index(['trump', 'vote', 'biden', 'million', 'back', 'presid', 'even', 'like',
       'elect', 'get', 'money', 'talk', 'real', 'peopl', 'take', 'legal',
       'nation', 'countri', 'got', '81'],
      dtype='object')"
40,62,44,"Index(['trump', 'biden', 'elect', 'need', 'amp', 'get', 'would', 'vote',
       '2016', 'even', 'black', 'hard', 'presid', 'democrat', 'vaccin',
       'million', '4', 'hunter', 'realli', 'wish'],
      dtype='object')"
54,61,51,"Index(['trump', 'biden', 'day', 'covid', 'get', 'putin', 'gop', 'elect',
       'would', 'go', 'amp', 'presid', 'crime', 'need', 'peopl', 'end', 'come',
       'think', 'keep', 'vote'],
      dtype='object')"
19,61,57,"Index(['trump', 'he', 'work', 'biden', 'read', 'american', 'elect', 'stop',
       'resign', 'russia', 'one', 'short', 'come', 'expect', 'smartnew', 'tri',
       'get', 'call', 'putin', 'web'],
      dtype='object')"
9,61,41,"Index(['trump', 'elect', 'putin', 'biden', 'fraud', 'state', 'cabinet', 'get',
       'someth', 'law', 'lie', 'king', 'republican', 'said', 'still', 'tweet',
       'got', 'year', 'presid', 'fals'],
      dtype='object')"
