,count,cluster,terms
47,271,17,"Index(['know', 'never', 'like', 'get', 'let', 'even', 'look', 'didnt', 'need',
       'one', 'go', 'much', 'good', 'amp', 'peopl', 'make', 'time', 'sure',
       'im', 'someon'],
      dtype='object')"
52,255,26,"Index(['lol', 'lollol', 'like', 'im', 'got', 'get', 'see', 'good', 'still',
       'know', 'dont', 'one', 'say', 'even', '2', 'back', 'lolgot', 'go',
       'work', 'peopl'],
      dtype='object')"
48,249,31,"Index(['na', 'gon', 'wan', 'im', 'get', 'go', 'see', 'dont', 'like', 'know',
       'fuck', 'realli', 'one', 'year', 'make', 'day', 'take', 'got',
       'thought', 'guy'],
      dtype='object')"
38,245,27,"Index(['best', 'one', 'ever', 'friend', 'wish', 'get', 'life', 'ive', 'next',
       'time', 'see', 'day', 'week', 'love', 'live', 'great', 'go', 'even',
       'home', 'still'],
      dtype='object')"
32,240,59,"Index(['right', 'block', 'lane', 'go', 'im', 'get', 'nb', 'rightright', 'back',
       'shoulder', 'take', 'wrong', 'even', 'way', 'work', 'know', 'two',
       'stop', 'feel', 'realli'],
      dtype='object')"
55,238,15,"Index(['play', 'game', 'team', 'get', 'would', 'like', 'time', 'go', 'see',
       'well', 'one', 'great', 'live', 'much', '2', 'im', 'watch', 'home',
       'still', 'year'],
      dtype='object')"
33,236,38,"Index(['use', 'one', 'like', 'would', 'time', 'go', 'get', 'see', 'even',
       'know', 'peopl', 'could', 'work', 'never', 'dont', 'day', 'need',
       'good', 'make', 'great'],
      dtype='object')"
6,235,36,"Index(['night', 'last', 'around', 'hotel', 'per', 'unit', 'state', 'usd', 'im',
       'game', 'back', 'day', 'one', 'late', 'go', 'watch', 'win', 'like',
       'see', 'next'],
      dtype='object')"
37,231,34,"Index(['happi', 'birthday', 'day', '4th', 'juli', 'hope', 'great', 'amp',
       'love', 'happihappi', 'america', 'good', 'friday', 'make', 'fourth',
       'year', 'everyon', 'dayhappi', 'birthdayhappi', 'safe'],
      dtype='object')"
16,224,58,"Index(['fuck', 'like', 'get', 'go', 'fuckfuck', 'im', 'yall', 'said', 'make',
       'time', 'ass', 'see', 'say', 'want', 'give', 'love', 'keep', 'kid',
       'game', 'got'],
      dtype='object')"
12,223,18,"Index(['great', 'thank', 'day', 'time', 'greatgreat', 'hope', 'love', 'much',
       'well', 'give', 'team', 'fun', 'one', 'would', 'see', 'back', 'look',
       'make', 'week', 'event'],
      dtype='object')"
