,count,cluster,terms
50,718,47,"Index(['amp', 'time', 'game', 'realli', 'right', 'thank', 'god', 'year', 'get',
       'first', 'one', 'go', 'day', 'madden', 'play', 'love', 'back', 'like',
       'christma', 'last'],
      dtype='object')"
20,714,15,"Index(['amp', 'photo', 'best', 'hope', 'work', 'christma', 'ever', 'day',
       'one', 'year', 'great', 'much', 'get', 'peopl', 'love', 'like', 'go',
       'good', 'made', 'see'],
      dtype='object')"
9,714,53,"Index(['day', 'want', 'need', 'that', 'shit', 'fuck', 'like', 'get', 'one',
       'finish', 'peopl', 'christma', 'go', 'realli', 'im', 'make', 'know',
       'would', 'year', 'amp'],
      dtype='object')"
14,703,7,"Index(['great', 'tri', 'good', 'go', 'well', 'come', 'get', 'like', 'noth',
       'year', 'see', 'time', 'shit', 'day', 'one', 'today', 'look', 'make',
       'work', 'back'],
      dtype='object')"
34,701,29,"Index(['time', 'back', 'fuck', 'go', 'never', 'alway', 'let', 'get', 'year',
       'like', 'sorri', 'lol', 'make', 'everi', 'im', 'love', 'good', 'see',
       'know', 'peopl'],
      dtype='object')"
8,693,39,"Index(['day', 'game', 'say', 'play', 'thank', 'follow', 'wait', 'box', 'way',
       'get', 'see', 'cant', 'like', 'christma', 'live', 'absolut', 'love',
       'one', 'much', 'time'],
      dtype='object')"
56,692,11,"Index(['like', 'photo', 'take', 'alway', 'someon', 'nice', 'get', 'love',
       'one', 'feel', 'time', 'year', 'sure', 'look', 'amp', 'new', 'christma',
       'good', 'go', 'thank'],
      dtype='object')"
2,687,33,"Index(['take', 'look', 'still', 'think', 'best', 'like', 'book', 'get', 'year',
       'ye', 'go', 'one', 'time', 'peopl', 'amp', 'would', 'new', 'see', 'got',
       'dont'],
      dtype='object')"
40,680,10,"Index(['photo', 'im', 'na', 'want', 'gon', 'like', 'dont', 'win', 'make', 'go',
       'get', 'wait', 'see', 'new', 'wan', 'tonight', 'year', 'babi', 'day',
       'peopl'],
      dtype='object')"
21,663,25,"Index(['love', 'hope', 'us', 'show', 'keep', 'work', 'wait', 'get', 'see',
       'year', 'good', 'cant', 'go', 'peopl', 'one', 'like', 'new', 'im',
       'time', 'know'],
      dtype='object')"
