,count,cluster,terms
11,99,52,"Index(['play', 'game', 'like', 'he', 'got', 'way', 'last', 'ive', 'get',
       'home', 'great', 'player', 'white', 'think', 'amp', 'win', 'time',
       'mental', 'top', 'one'],
      dtype='object')"
52,96,6,"Index(['see', 'get', 'link', 'open', 'job', 'would', 'like', 'peopl', 'back',
       'bio', 'look', 'list', 'latest', 'today', 'let', 'virtual', 'yall',
       'tour', 'pay', 'time'],
      dtype='object')"
43,96,20,"Index(['night', 'last', 'get', 'around', 'weather', 'time', 'back', 'good',
       'unit', 'got', 'tomorrow', 'live', 'low', 'like', 'feel', 'sleep', 'go',
       'hotel', 'state', 'usd'],
      dtype='object')"
21,90,47,"Index(['start', 'game', 'war', 'get', 'day', 'way', 'great', 'putin', 'one',
       'think', 'week', 'time', 'back', 'go', 'year', 'use', 'today', 'happen',
       'new', 'world'],
      dtype='object')"
20,88,50,"Index(['fuck', 'get', 'fuckfuck', 'world', 'around', 'war', 'go', 'taylor',
       'im', 'pussi', 'would', 'say', 'year', 'anoth', 'like', 'give', 'still',
       'said', 'bring', 'putin'],
      dtype='object')"
5,85,48,"Index(['well', 'done', 'get', 'see', 'wellwell', 'mayb', 'think', 'could',
       'mean', 'josh', 'team', 'lamma', 'room', 'today', 'call', 'inde',
       'appear', 'age', 'tonight', 'day'],
      dtype='object')"
33,82,38,"Index(['pleas', 'pretti', 'absolut', 'show', 'get', 'much', 'like', 'usa',
       'green', 'support', 'sure', 'us', 'ye', 'respons', 'also', 'bu', 'step',
       'prettiabsolut', 'follow', 'incred'],
      dtype='object')"
36,81,8,"Index(['take', 'care', 'job', 'nurs', 'make', 'medic', 'link', 'inform',
       'dialysi', 'hope', 'freseniu', 'luck', 'great', 'bio', 'right', 'pleas',
       'appli', 'love', 'descript', 'click'],
      dtype='object')"
56,81,25,"Index(['actual', 'your', 'peopl', 'take', 'realli', 'life', 'time', 'pretti',
       'got', 'right', 'dont', 'pay', 'use', 'call', 'point', 'live', 'made',
       'love', 'tri', 'day'],
      dtype='object')"
24,79,53,"Index(['lol', 'lollol', 'like', 'im', 'get', 'tweet', 'watch', 'say', 'game',
       'real', 'one', 'funni', 'lollove', 'take', 'twitter', 'wear', 'news',
       'caus', 'look', 'loldont'],
      dtype='object')"
31,77,10,"Index(['even', 'ukrain', 'make', 'peopl', 'war', 'know', 'dont', 'would',
       'russia', 'still', 'us', 'putin', 'one', 'see', 'like', 'use', 'say',
       'follow', 'take', 'said'],
      dtype='object')"
30,75,13,"Index(['na', 'gon', 'wan', 'get', 'go', 'fuck', 'im', 'know', 'today', 'see',
       'lose', 'hope', 'need', 'dont', 'yall', 'amp', 'day', 'wait', 'that',
       'doubl'],
      dtype='object')"
