,count,cluster,terms
41,100,31,"Index(['lol', 'lollol', 'tri', 'like', 'go', 'make', 'would', 'know', 'bad',
       'one', 'think', 'love', 'aint', 'want', 'use', 'see', 'littl', 'might',
       'peopl', 'ass'],
      dtype='object')"
53,90,49,"Index(['world', 'run', 'servic', 'product', 'make', 'need', 'us', 'peopl',
       'book', 'amp', 'water', 'great', 'state', 'food', 'place', 'day',
       'good', 'stori', 'confer', 'never'],
      dtype='object')"
9,88,32,"Index(['much', 'thank', 'love', 'go', 'get', 'us', 'sit', 'chang', 'ever',
       'din', 'want', 'muchlove', 'group', 'put', 'thing', 'actual', 'show',
       'watch', 'win', 'rather'],
      dtype='object')"
26,87,56,"Index(['could', 'commun', 'pictur', 'get', 'way', 'make', 'keep', 'peopl',
       'like', 'year', 'know', 'still', 'think', 'ago', 'read', 'go', 'thing',
       'us', 'good', 'show'],
      dtype='object')"
51,84,17,"Index(['tonight', 'read', 'book', 'day', 'see', 'worldbookday', 'dinner',
       'goal', 'us', 'get', 'give', 'im', 'stori', 'come', 'back', 'start',
       'ticket', 'night', 'favourit', 'librari'],
      dtype='object')"
29,84,35,"Index(['na', 'gon', 'wan', 'see', 'go', 'get', 'like', 'today', 'im', 'take',
       'play', 'stop', 'realli', 'amp', 'n', 'never', 'fuck', 'us', 'know',
       'say'],
      dtype='object')"
15,82,41,"Index(['call', 'would', '2', 'today', 'femal', 'name', 'peopl', 'made',
       'right', 'one', 'hey', 'realli', 'amp', 'book', 'high', 'ok', 'live',
       'want', 'need', 'that'],
      dtype='object')"
38,82,47,"Index(['man', 'like', 'play', 'dont', 'thank', 'young', 'get', 'good', 'let',
       'look', 'want', 'guy', 'know', 'move', 'need', 'made', 'us', 'big',
       'feel', 'r'],
      dtype='object')"
21,81,28,"Index(['fuck', 'im', 'get', 'fuckfuck', 'peopl', 'got', 'nigga', 'like',
       'your', 'amp', 'bitch', 'shit', 'give', 'sick', 'love', 'say', 'realli',
       'aint', 'walk', 'much'],
      dtype='object')"
0,74,30,"Index(['right', 'rightright', 'your', 'human', 'also', 'eu', 'guy', 'still',
       'like', 'seem', 'peopl', 'bodi', 'place', 'meet', 'keep', 'task', 'ni',
       'care', 'lot', 'back'],
      dtype='object')"
27,72,26,"Index(['morn', 'earli', 'wake', 'thank', 'meet', 'day', 'amp', 'coffe',
       'night', 'late', 'laugh', 'stop', 'readi', 'run', 'good', 'work',
       'actual', 'get', 'last', 'still'],
      dtype='object')"
44,70,9,"Index(['tri', 'ticket', 'second', 'lord', 'thee', 'may', 'think', 'make',
       'keep', 'packag', 'pray', 'buy', 'move', 'see', 'get', 'night', 'give',
       'first', '2019', 'find'],
      dtype='object')"
34,70,29,"Index(['pleas', 'get', 'help', 'follow', 'support', 'amp', 'check', 'like',
       'friend', 'share', 'would', 'pleaspleas', 'tell', 'back', 'work', 'st',
       'one', 'realli', 'wing', 'keep'],
      dtype='object')"
