,count,cluster,terms
48,100,47,"Index(['na', 'gon', 'wan', 'get', 'make', 'see', 'im', 'take', 'go', 'dont',
       'come', 'realli', 'look', 'one', 'say', 'man', 'work', 'want', 'big',
       'month'],
      dtype='object')"
37,91,3,"Index(['best', 'player', 'one', 'ever', 'friend', 'love', 'show', 'birthday',
       'today', 'day', 'thank', 'alway', 'keep', 'get', 'thing', 'your',
       'make', 'play', 'win', 'cigar'],
      dtype='object')"
18,91,45,"Index(['fuck', 'say', 'fuckfuck', 'get', 'im', 'dont', 'like', 'give', 'one',
       'want', 'someth', 'love', 'shit', 'go', 'got', 'u', 'everybodi',
       'never', 'around', 'p'],
      dtype='object')"
36,91,27,"Index(['realli', 'like', 'think', 'want', 'work', 'put', 'get', 'im', 'thank',
       'know', 'use', 'show', 'present', 'cant', 'littl', 'appreci', 'mani',
       'help', 'thoughrealli', 'live'],
      dtype='object')"
58,87,12,"Index(['women', 'day', 'intern', 'celebr', 'thank', 'woman', 'strong', 'amp',
       'happi', 'inspir', 'iwd2020', 'one', 'femal', 'support', 'work', 'us',
       'may', 'friend', 'today', 'team'],
      dtype='object')"
42,86,40,"Index(['shit', 'like', 'say', 'aint', 'hour', 'realli', 'peopl', 'sleep',
       'got', 'said', 'good', 'could', 'ass', 'kid', 'get', 'time', 'yo', 'im',
       'work', 'free'],
      dtype='object')"
35,86,55,"Index(['right', 'one', 'feel', 'team', 'get', 'start', 'dont', 'think', 'left',
       'love', 'say', 'go', 'hous', 'take', 'need', 'away', 'hard', 'end',
       'sound', 'didnt'],
      dtype='object')"
44,84,23,"Index(['birthday', 'happi', 'day', 'love', 'lmaohappi', 'wish', 'know', 'amp',
       'better', 'u', 'yesterday', 'fab', 'use', 'bring', 'great', 'well',
       'content', 'iwd', 'birthdayhappi', 'big'],
      dtype='object')"
47,84,15,"Index(['year', 'ago', 'last', 'live', 'get', 'two', 'see', '2', 'end', 'well',
       'day', 'im', 'still', 'took', 'amp', 'made', 'week', '4', 'work', '20'],
      dtype='object')"
53,84,28,"Index(['trump', 'biden', 'vote', 'beat', 'berni', 'peopl', 'get', 'elect',
       'one', 'presid', 'would', 'state', 'voter', 'need', 'amp', 'make',
       'coronaviru', 'candid', 'plan', 'dont'],
      dtype='object')"
56,81,52,"Index(['night', 'last', 'let', 'good', 'reed', 'lou', 'cover', 'bejar', 'love',
       '2', 'one', 'im', 'went', 'year', 'minut', 'work', '10', 'tell', 'like',
       'run'],
      dtype='object')"
34,80,6,"Index(['that', 'know', 'get', 'good', 'dont', 'like', 'watch', 'hope',
       'theori', 'im', 'think', 'lol', 'one', 'big', 'yall', 'even', 'love',
       'time', 'mom', 'want'],
      dtype='object')"
54,79,30,"Index(['morn', 'minu', 'wind', 'good', 'high', 'becom', 'sun', 'low', '3',
       'mix', 'monday', 'today', 'cloud', 'chill', 'kmh', 'index', 'plu', 'uv',
       'morngood', 'moder'],
      dtype='object')"
46,76,10,"Index(['much', 'would', 'love', 'thank', 'im', 'like', 'feel', 'could', 'see',
       'book', 'forgot', 'call', 'read', 'great', 'liverpool', 'care', 'time',
       'peopl', 'work', 'fun'],
      dtype='object')"
49,74,48,"Index(['wait', 'cant', 'see', 'get', 'believ', 'woman', 'tattoo', 'week',
       'best', 'help', 'cantcant', 'even', 'realli', 'na', 'ever', 'friend',
       'man', 'support', 'come', 'made'],
      dtype='object')"
51,72,54,"Index(['support', 'friend', 'ladi', 'women', 'even', 'chariti', 'get', 'care',
       'dream', 'work', 'contact', 'open', 'media', 'free', 'time', 'live',
       'away', 'great', 'thank', '25'],
      dtype='object')"
0,71,56,"Index(['tonight', 'win', 'time', 'see', 'open', 'awesom', 'home', 'amp',
       'start', 'team', 'thank', 'come', 'tomorrow', 'sinc', 'back', 'whole',
       'amaz', 'spring', 'there', '9'],
      dtype='object')"
15,66,22,"Index(['he', 'one', 'like', 'go', 'sorri', 'end', 'guy', 'never', 'man',
       'feel', 'know', 'peopl', 'week', 'even', 'thank', 'enough', 'ignor',
       'winger', 'need', 'career'],
      dtype='object')"
13,63,34,"Index(['tweet', 'twitter', 'like', 'say', 'read', 'time', 'make', 'follow',
       'get', 'end', '24', 'use', 'fam', 'peopl', 'tweettweet', 'let',
       'origin', 'screenshot', 'push', 'back'],
      dtype='object')"
50,61,44,"Index(['miss', 'go', 'u', 'babi', 'like', 'hard', 'one', 'degre', 'missmiss',
       'good', 'ill', 'upset', 'take', 'would', 'im', 'rubi', 'gon', '2016',
       'sleep', 'penalti'],
      dtype='object')"
55,56,50,"Index(['beauti', 'day', 'beautibeauti', 'tell', 'go', 'weather', 'friend',
       'happi', 'thank', 'strong', 'time', 'luxor', 'place', 'eye', 'god',
       'kind', 'night', 'degre', 'life', 'sister'],
      dtype='object')"
45,55,43,"Index(['video', 'cool', 'game', 'watch', 'show', 'see', 'reaction', 'share',
       'guy', 'outsid', 'move', 'day', 'phone', 'lol', 'im', 'say', 'play',
       'regard', 'go', 'love'],
      dtype='object')"
8,49,8,"Index(['bad', 'bitch', 'women', 'ad', 'everi', 'like', 'go', 'bunni', 'hand',
       'want', 'red', 'make', 'pull', 'aint', 'nigga', 'sock', 'expans',
       'sound', 'look', 'agenc'],
      dtype='object')"
11,46,46,"Index(['via', 'offici', 'everyth', 'petit', 'sign', 'go', 'forward', 'lennon',
       'music', 'like', 'hand', 'live', '1', 'video', 'new', 'john', 'book',
       'open', 'care', 'great'],
      dtype='object')"
29,44,39,"Index(['anyth', 'know', 'wrong', 'im', 'peopl', 'go', 'ever', 'right', 'good',
       'say', 'cant', 'believ', 'person', 'done', 'excit', 'play', 'close',
       'life', 'lie', 'realli'],
      dtype='object')"
52,42,1,"Index(['photo', 'post', 'blueberri', 'floridapost', 'photopost', 'new',
       'drive', 'counti', 'amp', 'check', 'georgiapost', 'californiapost',
       'video', 'beach', 'sign', 'hype', 'lakepost', 'la', 'vega',
       'nevadaunfortun'],
      dtype='object')"
22,37,35,"Index(['wind', 'humid', 'pressur', 'gt', 'weather', 'sky', 'clear', 'mph',
       'temperatur', 'cloud', 'gust', '00', 'rain', '5mph', 'ave', 'hpa',
       'gmt', 'mm', '1030mbcurrent', '86'],
      dtype='object')"
57,32,33,"Index(['sunset', 'sunris', 'citi', '629pm', 'cloud', 'london', 'kansa',
       'photographi', 'sun', 'sweet', '718pm739am', 'march', 'sky', 'color',
       'rain', '709pm729am', 'shadow', 'moonris', 'silhouett', 'evenearli'],
      dtype='object')"
27,29,11,"Index(['what', 'know', 'best', 'time', 'im', 'cartoon', 'make', 'whatnahhh',
       'run', 'account', 'lmfao', 'appliwhat', 'break', 'spring', 'hobbiwhat',
       'move', 'texahardwar', 'friend', 'less', 'criteria'],
      dtype='object')"
19,29,24,"Index(['dude', 'dudedude', 'think', 'find', 'player', 'go', 'ad', 'leagu',
       'like', 'never', 'heat', 'episod', 'exactli', 'watchtake', 'akimbo',
       'gun', 'lbcwassss', 'miss', 'catchdude', 'idea'],
      dtype='object')"
59,20,51,"Index(['expect', 'music', 'mdt', 'thought', 'shit', 'even', 'traffic', 'bridg',
       'tl', 'bchwy1', 'along', 'donehello', 'altern', 'lane', 'singl',
       'delay', 'minor', 'mainten', 'monday', 'everyon'],
      dtype='object')"
